N,PF_1,invPF,PF_2,invPf_2
bussource.1,1.0,1.0,1.0,1.0
bussource.2,1.0,1.0,1.0,1.0
bussource.3,1.0,1.0,1.0,1.0
mdv_sub_1_hsb.1,0.9996745226117091,1.000325583358312,0.9989917357703194,1.00100928185247
mdv_sub_1_hsb.2,1.0034902228380496,0.9965219164485942,1.0130717165397973,0.9870969484920135
mdv_sub_1_hsb.3,1.0160201307670522,0.9842324671707462,1.0149094235543115,0.9853096018144188
feederheadbus.1,1.9762075531091563,0.506019723700937,0.9941104670135313,1.0059244250834234
feederheadbus.2,1.998708956245754,0.5003229694223893,1.0070043532626343,0.9930443664519021
feederheadbus.3,1.9926393744331954,0.5018469537592316,1.0035068630411876,0.9965053920702048
busprim1.1,2.0260463559751964,0.4935721224002647,0.9901559605961961,1.0099419079372876
busprim1.2,1.9844712052965974,0.503912577482091,1.009627454916131,0.99046434913269
busprim1.3,2.034365194402928,0.49155382856099883,1.0042709997501764,0.9957471641108437
busprim2.1,1.992514627831776,0.5018783732033048,0.9900975741080106,1.0100014646545423
busprim2.2,2.0131530001765645,0.4967332338437737,1.0117129345099412,0.9884226699981703
busprim2.3,2.0601727046265856,0.4853961989469489,1.0166304361503913,0.9836416109935046
busprim3.1,2.0091415438686826,0.4977250124819279,1.001141103148956,0.9988601974832849
busprim3.2,2.000985878057253,0.4997536519202698,1.0045147681461528,0.995505523373753
busprim3.3,2.034367108276442,0.49155336612142764,1.0079025130666512,0.9921594470058349
busprim4.1,2.0091422156090792,0.4977248460716088,1.0094464953705695,0.9906419058227532
busprim4.2,1.989310492758735,0.5026867367563222,1.0098691590000763,0.9902272894343577
busprim4.3,2.0300975799149783,0.49258715930387964,1.0020898900963133,0.997914468435449
busprim5.1,1.9762096882059481,0.5060191769972673,0.9823160494474623,1.0180023023776152
busprim5.2,1.9893106831261493,0.502686688651632,0.9974183348454547,1.002588347400838
busprim5.3,2.051435523010636,0.4874635292131555,1.0054451298462403,0.994584359022085
busprim6.1,2.0260489536548274,0.4935714895714052,1.0000981825163417,0.9999018271225184
busprim6.2,1.9752062707012885,0.5062762379976418,1.0114383869962051,0.9886909700647459
busprim6.3,2.030098346831918,0.4925869732176059,1.0068531729724375,0.9931934733321588
busprim7.1,2.0260493181494423,0.4935714007758618,1.0124043389901944,0.9877476433945681
busprim7.2,1.9822337756618136,0.5044813645485016,0.9997107853931498,1.0002892982761373
busprim7.3,2.0300980167261007,0.49258705331513025,1.011081668500784,0.9890397889250473
busprim8.1,2.0260492431609274,0.4935714190440192,1.000371396638052,0.9996287412462009
busprim8.2,1.9915664511819657,0.5021173154460975,1.0031165769986696,0.9968931058760943
busprim8.3,2.0258455273933884,0.4936210517919786,1.0076410887249916,0.9924168547605972
busprim9.1,2.0091915723075493,0.4977126192359565,0.9916801104109684,1.0083896908909302
busprim9.2,1.9893114501238462,0.5026864948360621,0.990241109393378,1.0098550651089413
busprim9.3,2.051434799877234,0.48746370104467557,1.007279255395319,0.9927733492412071
busprim10.1,2.026049249898221,0.49357141740272853,1.0011323743236762,0.9988689064975637
busprim10.2,1.9915663956520535,0.5021173294463992,0.9958574696818664,1.0041597622594094
busprim10.3,2.025844567040832,0.49362128579326714,1.0016379942701688,0.9983646843674673
busprim11.1,2.026049329854704,0.49357139792431115,1.0081855797364845,0.9918808799679282
busprim11.2,1.9987103491419158,0.5003226207485837,1.0101532740214725,0.9899487787818063
busprim11.3,2.0601727661925002,0.48539618444143684,0.9997583324820423,1.0002417259352645
busprim12.1,1.9925646343300358,0.5018657777875457,0.9883542807570515,1.0117829400546818
busprim12.2,1.975205935418865,0.5062763239357817,1.009386879444994,0.9907004146416531
busprim12.3,2.0557930892207663,0.48643027610285566,1.0173954829195133,0.9829019459870263
bustrafo1lv.1,2.0260097727072406,0.49358103473694376,1.0200492242260155,0.9803448463565783
bussec1_1.1,2.1526877681345526,0.46453555169617866,1.0953398017583926,0.9129586986564902
bussec1_2.1,2.1336293448867902,0.46868496742252097,1.0677155536961547,0.9365790322509202
bussec1_3.1,2.078494319876152,0.48111750435747425,1.0465415359747332,0.9555282476854728
bussec1_4.1,2.11488854435902,0.4728381562552176,1.0483584981451268,0.953872174231727
bussec1_5.1,2.152687659940326,0.46453557504376675,1.0929716716250388,0.9149367965897892
bustrafo2lv.2,2.0204345005016853,0.49494304306904996,1.0093163972904389,0.990769596812804
bussec2_1.2,2.047387609777856,0.48842729887795955,1.0203667272695132,0.980039796746397
bustrafo3lv.3,2.047053137014837,0.48850710414790377,1.02459925661583,0.9759913386067843
bussec3_1.3,2.0776121414481548,0.48132179247998214,1.019723845789389,0.9806576595508363
bussec3_2.3,2.0731214944555543,0.48236439720221086,1.021183253446729,0.9792561683956034
bussec3_3.3,2.1462678023316673,0.46592508116350523,1.069010205463523,0.9354447645954883
bussec3_4.3,2.122692401631351,0.47109981607861356,1.0433543626218846,0.9584471353405397
bussec3_5.3,2.046759140746463,0.48857727325712347,1.0314219172561485,0.9695353407461623
bustrafo4lv.1,2.0606451465175297,0.485284912683773,1.0163021017628588,0.9839593938312422
bussec4_0.1,2.043157858140802,0.48943844256359276,1.040082534488536,0.9614621598196081
