postID,model,condition,make year,cylinder NO,drive,fuel,color,status,transmission,vehicle type,latitude,longitude,price
7796995990,Volkswagen Cabrio GLX,excellent,2001,4,fwd,gas,silver,clean,automatic,convertible,36.457566,-121.843863,"$10,600 "
7796995975,Ram ProMaster 1500,good,2014,6,fwd,gas,white,clean,automatic,van,39.57,-105.083,"$20,500 "
7796995958,ford edge sel,N/A,2015,N/A,N/A,gas,N/A,clean,automatic,SUV,38.0307,-122.2581,"$8,900 "
7796995955,Ford Explorer XLT,excellent,2004,6,4wd,gas,blue,clean,automatic,SUV,47.483724,-121.778355,"$10,500 "
7796995956,ford f150 xlt,excellent,2006,8,4wd,gas,N/A,clean,automatic,truck,47.851724,-116.731496,"$8,950 "
7796995959,"Toyota Prius LE 42K Miles, Clean",good,2020,4,fwd,electric,black,clean,automatic,hatchback,32.823903,-117.155778,"$24,990 "
7796995943,chevrolet corvette convertible,excellent,2002,8,rwd,gas,red,clean,automatic,coupe,38.868393,-104.996941,"$20,000 "
7796995929,chevrolet cruze 2lt auto,excellent,2012,4,fwd,gas,blue,clean,automatic,sedan,45.499444,-122.510777,"$7,995 "
7796995847,chevy trailblazer,N/A,2002,N/A,N/A,gas,N/A,clean,automatic,SUV,37.550094,-122.290363,"$2,700 "
7796995843,Kia Forte LXS,good,2019,4,fwd,gas,grey,clean,automatic,sedan,44.7609,-93.2753,"$12,995 "
7796995833,honda fit lx hatchback,good,2017,4,fwd,gas,silver,clean,automatic,hatchback,37.725138,-122.447777,"$8,000 "
7796995846,Ford Expedition Limited,N/A,2023,6,4wd,gas,silver,clean,automatic,SUV,45.38845,-122.610757,"$52,201 "
7796995776,jeep wrangler,fair,2002,6,4wd,gas,green,clean,manual,SUV,38.9497,-104.767,"$8,000 "
7796995764,Tesla Model 3,excellent,2020,N/A,4wd,electric,white,clean,automatic,sedan,45.2685,-92.9749,"$24,800 "
7796995758,Volkswagen Jetta SE.,excellent,2013,5,N/A,gas,silver,clean,automatic,sedan,34.1502,-116.3038,"$4,800 "
7796995736,dodge ram 2500,excellent,2021,8,4wd,gas,blue,clean,automatic,pickup,44.6992,-88.4543,"$30,000 "
7796995725,lamborghini gallardo,N/A,2013,N/A,N/A,gas,N/A,clean,automatic,convertible,38.0307,-122.2581,"$113,000 "
7796995653,chevy prizm,fair,2002,4,fwd,gas,white,clean,automatic,sedan,39.6575,-104.7846,$995 
7796995630,Ford Transit Connect Titanium,N/A,2020,4,fwd,gas,blue,clean,automatic,wagon,45.519743,-122.433069,$0 
7796995592,Chevrolet Equinox LS,excellent,2011,4,4wd,gas,silver,clean,automatic,SUV,29.70371,-95.492306,"$6,000 "
7796995532,Nissan Rogue,excellent,2016,4,fwd,gas,white,clean,automatic,SUV,34.3775,-118.6131,"$13,400 "
7796995530,Ford,like new,1930,8,rwd,gas,red,clean,automatic,coupe,33.6685,-116.3081,"$43,500 "
7796995524,jaguar xf,excellent,2010,8,fwd,gas,green,clean,automatic,sedan,45.4762,-122.5596,"$7,995 "
7796995483,kia Seltos,excellent,2021,4,4wd,gas,grey,clean,automatic,SUV,33.375,-104.5227,"$1,500 "
7796995479,ford explorer,good,2012,4,fwd,gas,red,clean,automatic,SUV,42.974,-88.1553,"$4,500 "
7796995457,Ford F150 XLT Gas Truck Auto,N/A,2018,6,4wd,gas,white,clean,automatic,pickup,47.2038,-122.4825,$0 
7796995456,Lexus GX 460 Base Gas SUV Auto,N/A,2014,8,4wd,gas,N/A,clean,automatic,SUV,47.143,-122.1644,"$25,950 "
7796995447,toyota corolla s,N/A,2010,N/A,N/A,gas,N/A,clean,automatic,sedan,29.5617,-95.2721,"$7,900 "
7796995430,toyota camry,good,2014,4,fwd,gas,red,clean,automatic,sedan,35.1347,-106.5222,"$8,500 "
7796995423,chevrolet trailblazer,N/A,2004,N/A,N/A,gas,N/A,clean,automatic,SUV,47.693795,-122.306757,"$2,488 "
7796995343,subaru forester,N/A,2001,N/A,N/A,gas,N/A,clean,automatic,SUV,42.3989,-123.3538,"$2,400 "
7796995309,toyota 4runner,excellent,1998,4,rwd,gas,N/A,clean,manual,SUV,37.3492,-121.953,"$3,300 "
7796995263,Subaru Outback 2.5i Limited,N/A,2017,4,4wd,gas,black,clean,manual,sedan,40.182151,-105.102373,"$18,999 "
7796995244,honda fit sport,excellent,2010,4,fwd,gas,black,clean,automatic,hatchback,45.478152,-122.579034,"$4,995 "
7796995220,toyota camry,N/A,1996,N/A,N/A,gas,N/A,clean,manual,sedan,47.693795,-122.306757,"$1,695 "
7796995213,chevrolet bolt ev lt,excellent,2019,N/A,N/A,electric,N/A,clean,automatic,hatchback,42.3899,-122.9222,"$12,500 "
7796995141,honda accord sport,like new,2022,4,rwd,gas,grey,clean,automatic,sedan,29.4248,-98.4938,"$14,000 "
7796995126,lexus es300 coach edition,excellent,2001,6,fwd,gas,custom,clean,automatic,sedan,39.8032,-121.8673,"$4,600 "
7796995116,ford f350 super duty,good,1999,8,4wd,diesel,white,clean,automatic,pickup,40.3258,-105.0837,"$18,000 "
7796995016,lexus es300 coach edition,excellent,2001,6,fwd,gas,custom,clean,automatic,sedan,39.8032,-121.8673,"$4,600 "
7796995007,FORD F-350,N/A,2022,N/A,4wd,diesel,white,clean,automatic,pickup,29.656438,-95.555243,"$51,990 "
7796994992,Dodge Dakota SXT Pickup,excellent,2002,6,rwd,gas,green,clean,automatic,pickup,45.483,-122.612,"$4,800 "
7796994988,FORD F-150,N/A,2009,N/A,4wd,other,blue,clean,automatic,pickup,38.099454,-122.25507,"$9,995 "
7796994974,Audi s6,excellent,2014,8,4wd,gas,black,clean,automatic,sedan,38.4243,-121.437,"$23,500 "
7796994969,DODGE DURANGO,N/A,2017,N/A,N/A,gas,N/A,clean,automatic,SUV,38.496861,-121.465919,$0 
7796994868,kia sportage,good,2013,4,fwd,gas,grey,clean,automatic,SUV,31.3489,-94.8327,"$2,000 "
7796994856,subaru ascent,N/A,2022,N/A,N/A,other,N/A,clean,other,N/A,38.8377,-104.837,"$35,988 "
7796994845,mercedes benz ml320,good,1999,6,4wd,gas,red,clean,automatic,SUV,32.791,-117.234,"$1,999 "
7796994803,dodge ram,good,2017,6,rwd,gas,white,clean,automatic,pickup,33.4368,-112.3834,"$7,300 "
7796994752,Chevy Colorado LT,excellent,2016,6,4wd,gas,red,clean,automatic,pickup,47.7248,-116.789,"$26,000 "
7796994744,kia sorento,excellent,2014,4,fwd,gas,red,clean,automatic,SUV,33.623422,-117.696385,"$5,900 "
7796994741,Volkswagen Routan SE,good,2009,6,fwd,gas,N/A,clean,automatic,minivan,39.0401,-94.4951,"$3,350 "
7796994707,honda accord sport,like new,2022,4,rwd,gas,grey,clean,automatic,sedan,29.7581,-95.3666,"$14,000 "
7796994674,audi a5,good,2015,N/A,N/A,gas,N/A,lien,automatic,coupe,38.6465,-120.9641,"$9,000 "
7796994671,chevrolet aveo aveo5 ls,excellent,2008,4,fwd,gas,red,clean,automatic,hatchback,45.4762,-122.5596,"$3,995 "
7796994653,toyota tacoma,excellent,2012,4,rwd,gas,white,clean,automatic,pickup,41.4304,-91.0509,"$13,800 "
7796994563,Honda Odyssey,excellent,2011,6,fwd,gas,silver,clean,automatic,minivan,33.623422,-117.696385,"$7,750 "
7796994552,honda accord,good,2000,4,rwd,gas,silver,clean,automatic,coupe,30.1815,-97.8258,"$5,000 "
7796994549,Jeep Renegade Altitude,N/A,2018,4,fwd,gas,red,clean,manual,SUV,40.590459,-124.146658,"$16,995 "
7796994479,FORD F150 XLT 4X4 CREWCAB,excellent,2010,8,4wd,gas,white,clean,automatic,pickup,42.3899,-122.9222,"$12,000 "
7796994339,volvo v70 wagon,N/A,2004,N/A,N/A,gas,N/A,clean,automatic,wagon,47.685362,-122.314942,"$2,795 "
7796994315,dodge ram 2500 slt,good,2004,6,rwd,diesel,red,clean,automatic,pickup,34.9262,-95.7592,"$9,800 "
7796994297,Ford F-150 XLT,N/A,2020,6,4wd,gas,silver,clean,automatic,pickup,40.590459,-124.146658,"$27,995 "
7796994274,hyundai accent,N/A,2006,N/A,N/A,gas,N/A,clean,manual,N/A,47.0129,-122.8763,"$3,000 "
7796994247,Ford F-150 XLT 4X4,excellent,2015,6,fwd,gas,red,rebuilt,automatic,SUV,47.305,-122.2067,"$23,000 "
7796994237,mercedes-benz s500,good,2003,other,fwd,gas,black,clean,automatic,sedan,37.2827,-121.8265,"$3,300 "
7796994213,nissan rogue,like new,2016,4,N/A,gas,red,clean,automatic,SUV,29.452664,-98.524011,"$8,999 "
7796994152,scion xb,N/A,2005,N/A,N/A,gas,N/A,clean,manual,wagon,47.685362,-122.314942,"$2,495 "
7796994127,Kia Niro EV EX 4dr Crossover,N/A,2022,N/A,N/A,electric,white,clean,automatic,wagon,45.514004,-122.578773,$306 
7796994040,Toyota Corolla,excellent,1998,4,fwd,gas,brown,clean,automatic,coupe,42.590338,-122.927456,"$4,500 "
7796994009,Ford Fusion S,N/A,2020,4,fwd,gas,grey,clean,automatic,sedan,40.590459,-124.146658,"$15,995 "
7796993987,Lexus IS,excellent,2006,6,fwd,gas,grey,clean,automatic,sedan,34.0658,-118.0853,"$5,999 "
7796993971,smart fortwo passion,N/A,2008,N/A,N/A,gas,N/A,clean,automatic,N/A,47.685362,-122.314942,"$5,995 "
7796993964,Buick Envision Avenir,N/A,2021,4,4wd,gas,N/A,clean,automatic,SUV,45.519743,-122.433069,$0 
7796993958,Mercedes-Benz C-Class C 300,N/A,2015,4,4wd,gas,white,clean,automatic,sedan,46.57459,-120.49001,"$19,965 "
